,0,1
465,1125.0,329.4942
466,1126.0,325.4216
467,1127.0,321.3121
468,1128.0,317.2027
469,1129.0,313.0932
470,1130.0,309.0943
471,1131.0,305.2244
472,1132.0,301.5019
473,1133.0,297.9084
474,1134.0,294.4624
475,1135.0,291.1269
476,1136.0,287.9389
477,1137.0,284.8982
478,1138.0,281.9682
479,1139.0,279.1487
480,1140.0,276.3292
481,1141.0,273.5465
482,1142.0,270.7639
483,1143.0,268.0181
484,1144.0,265.2723
485,1145.0,262.5634
486,1146.0,259.8544
487,1147.0,257.1824
488,1148.0,254.5287
489,1149.0,251.8751
490,1150.0,249.2583
491,1151.0,246.6415
492,1152.0,244.0616
493,1153.0,241.4816
494,1154.0,238.9386
495,1155.0,236.3955
496,1156.0,233.8893
497,1157.0,231.4015
498,1158.0,228.9505
499,1159.0,226.518
500,1160.0,224.1224
501,1161.0,221.7452
502,1162.0,219.4048
503,1163.0,217.0829
504,1164.0,214.7978
505,1165.0,212.5496
506,1166.0,210.3013
507,1167.0,208.1084
508,1168.0,205.9339
509,1169.0,203.7778
510,1170.0,201.6586
511,1171.0,199.5577
512,1172.0,197.4938
513,1173.0,195.4667
514,1174.0,193.4581
515,1175.0,191.4678
516,1176.0,189.5144
517,1177.0,187.5979
518,1178.0,185.6998
519,1179.0,183.8202
520,1180.0,181.9774
521,1181.0,180.1714
522,1182.0,178.3839
523,1183.0,176.6148
524,1184.0,174.901
525,1185.0,173.1872
526,1186.0,171.5102
527,1187.0,169.8701
528,1188.0,168.2669
529,1189.0,166.682
530,1190.0,165.1157
531,1191.0,163.5861
532,1192.0,162.0934
533,1193.0,160.6192
534,1194.0,159.1818
535,1195.0,157.7813
536,1196.0,156.3992
537,1197.0,155.0539
538,1198.0,153.7271
539,1199.0,152.4371
540,1200.0,151.184
541,1201.0,149.9493
542,1202.0,148.7515
543,1203.0,147.5721
544,1204.0,146.4296
545,1205.0,145.3055
546,1206.0,144.2182
547,1207.0,143.1678
548,1208.0,142.099
549,1209.0,141.0486
550,1210.0,139.9797
551,1211.0,138.9478
552,1212.0,137.8974
553,1213.0,136.8654
554,1214.0,135.815
555,1215.0,134.783
556,1216.0,133.7695
557,1217.0,132.7375
558,1218.0,131.724
559,1219.0,130.7104
560,1220.0,129.6969
561,1221.0,128.7018
562,1222.0,127.7066
563,1223.0,126.7115
564,1224.0,125.698
565,1225.0,124.6844
566,1226.0,123.6525
567,1227.0,122.6205
568,1228.0,121.5517
569,1229.0,120.4828
570,1230.0,119.3956
571,1231.0,118.2899
572,1232.0,117.1842
573,1233.0,116.0417
574,1234.0,114.8991
575,1235.0,113.7382
576,1236.0,112.5588
577,1237.0,111.3794
578,1238.0,110.1631
579,1239.0,108.9468
580,1240.0,107.7122
581,1241.0,106.4775
582,1242.0,105.2244
583,1243.0,104.0634
584,1244.0,102.9946
585,1245.0,102.0363
586,1246.0,101.1518
587,1247.0,100.3778
588,1248.0,99.6775
589,1249.0,99.0878
590,1250.0,98.5903
591,1251.0,98.1848
592,1252.0,97.89
593,1253.0,97.6689
594,1254.0,97.5399
595,1255.0,97.5214
596,1256.0,97.5951
597,1257.0,97.761
598,1258.0,98.019
599,1259.0,98.3323
600,1260.0,98.5903
601,1261.0,98.793
602,1262.0,98.922
603,1263.0,98.9957
604,1264.0,98.9957
605,1265.0,98.9404
606,1266.0,98.8114
607,1267.0,98.6087
