,Wavelength (nm),Absorption (/cm)
526,826,0.024930769230769232
527,827,0.02576923076923077
528,828,0.026607692307692308
529,829,0.02744615384615385
530,830,0.028284615384615387
531,831,0.029123076923076925
532,832,0.029961538461538463
533,833,0.0308
534,834,0.03136428571428571
535,835,0.03192857142857143
536,836,0.03249285714285714
537,837,0.033057142857142854
538,838,0.03362142857142857
539,839,0.034185714285714285
540,840,0.03475
541,841,0.035314285714285715
542,842,0.035878571428571426
543,843,0.036442857142857145
544,844,0.037007142857142857
545,845,0.03757142857142857
546,846,0.03813571428571429
547,847,0.0387
548,848,0.03897333333333333
549,849,0.039246666666666666
550,850,0.03952
551,851,0.03979333333333333
552,852,0.04006666666666667
553,853,0.04034
554,854,0.040613333333333335
555,855,0.04088666666666666
556,856,0.041159999999999995
557,857,0.04143333333333333
558,858,0.04170666666666666
559,859,0.041979999999999996
560,860,0.04225333333333333
561,861,0.042526666666666664
562,862,0.0428
563,863,0.04332
564,864,0.04384
565,865,0.04436
566,866,0.044879999999999996
567,867,0.045399999999999996
568,868,0.045919999999999996
569,869,0.046439999999999995
570,870,0.04696
571,871,0.047479999999999994
572,872,0.048
573,873,0.04852
574,874,0.04904
575,875,0.04956
576,876,0.05008
577,877,0.0506
578,878,0.05124375
579,879,0.0518875
580,880,0.05253125
581,881,0.053175
582,882,0.05381875
583,883,0.0544625
584,884,0.05510625
585,885,0.05575
586,886,0.05639375
587,887,0.057037500000000005
588,888,0.05768125
589,889,0.058325
590,890,0.05896875
591,891,0.0596125
592,892,0.060256250000000004
593,893,0.0609
594,894,0.06178125
595,895,0.0626625
596,896,0.06354375
597,897,0.064425
598,898,0.06530625
599,899,0.0661875
600,900,0.06706875
601,901,0.06795
602,902,0.06883125
603,903,0.0697125
604,904,0.07059375
605,905,0.071475
606,906,0.07235625
607,907,0.0732375
608,908,0.07411875
609,909,0.075
610,910,0.07758823529411764
611,911,0.0801764705882353
612,912,0.08276470588235293
613,913,0.08535294117647059
614,914,0.08794117647058823
615,915,0.09052941176470589
616,916,0.09311764705882353
617,917,0.09570588235294117
618,918,0.09829411764705882
619,919,0.10088235294117646
620,920,0.10347058823529412
621,921,0.10605882352941176
622,922,0.1086470588235294
623,923,0.11123529411764704
624,924,0.1138235294117647
625,925,0.11641176470588235
626,926,0.119
627,927,0.12333333333333332
628,928,0.12766666666666665
629,929,0.132
630,930,0.13633333333333333
631,931,0.14066666666666666
632,932,0.145
633,933,0.14933333333333332
634,934,0.15366666666666667
635,935,0.158
636,936,0.165
637,937,0.172
638,938,0.179
639,939,0.186
640,940,0.193
641,941,0.2
642,942,0.207
643,943,0.214
644,944,0.226
645,945,0.238
646,946,0.25
647,947,0.262
648,948,0.274
649,949,0.28600000000000003
650,950,0.29800000000000004
651,951,0.31
652,952,0.322
653,953,0.3369
654,954,0.3518
655,955,0.3667
656,956,0.3816
657,957,0.39649999999999996
658,958,0.4114
659,959,0.4263
660,960,0.4412
661,961,0.45609999999999995
662,962,0.471
663,963,0.4749090909090909
664,964,0.4788181818181818
665,965,0.4827272727272727
666,966,0.48663636363636364
667,967,0.4905454545454545
668,968,0.4944545454545454
669,969,0.49836363636363634
670,970,0.5022727272727273
671,971,0.5061818181818182
672,972,0.5100909090909092
673,973,0.514
674,974,0.5122857142857143
675,975,0.5105714285714286
676,976,0.5088571428571429
677,977,0.5071428571428571
678,978,0.5054285714285714
679,979,0.5037142857142857
680,980,0.502
681,981,0.4987
682,982,0.4954
683,983,0.4921
684,984,0.4888
685,985,0.4855
686,986,0.48219999999999996
687,987,0.4789
688,988,0.47559999999999997
689,989,0.4723
690,990,0.469
691,991,0.4637
692,992,0.4584
693,993,0.45309999999999995
694,994,0.4478
695,995,0.4425
696,996,0.4372
697,997,0.43189999999999995
698,998,0.4266
699,999,0.4213
700,1000,0.416
701,1001,0.4095
702,1002,0.40299999999999997
703,1003,0.39649999999999996
704,1004,0.38999999999999996
705,1005,0.38349999999999995
706,1006,0.377
707,1007,0.3705
708,1008,0.364
709,1009,0.3575
710,1010,0.351
711,1011,0.3444
712,1012,0.3378
713,1013,0.3312
714,1014,0.3246
715,1015,0.31799999999999995
716,1016,0.3114
717,1017,0.30479999999999996
718,1018,0.29819999999999997
719,1019,0.29159999999999997
720,1020,0.285
721,1021,0.28009090909090906
722,1022,0.27518181818181814
723,1023,0.2702727272727273
724,1024,0.26536363636363636
725,1025,0.26045454545454544
726,1026,0.2555454545454545
727,1027,0.25063636363636366
728,1028,0.24572727272727274
729,1029,0.24081818181818182
730,1030,0.23590909090909093
731,1031,0.231
732,1032,0.2272727272727273
733,1033,0.22354545454545455
734,1034,0.21981818181818183
735,1035,0.2160909090909091
736,1036,0.21236363636363637
737,1037,0.20863636363636365
738,1038,0.20490909090909093
739,1039,0.20118181818181818
740,1040,0.19745454545454547
741,1041,0.19372727272727275
742,1042,0.19
743,1043,0.18763636363636363
744,1044,0.18527272727272728
745,1045,0.1829090909090909
746,1046,0.18054545454545454
747,1047,0.1781818181818182
748,1048,0.17581818181818182
749,1049,0.17345454545454547
750,1050,0.1710909090909091
751,1051,0.16872727272727273
752,1052,0.16636363636363638
753,1053,0.164
754,1054,0.16305882352941178
755,1055,0.16211764705882353
756,1056,0.1611764705882353
757,1057,0.16023529411764706
758,1058,0.15929411764705884
759,1059,0.15835294117647059
760,1060,0.15741176470588236
761,1061,0.1564705882352941
762,1062,0.1555294117647059
763,1063,0.15458823529411764
764,1064,0.15364705882352941
765,1065,0.15270588235294116
766,1066,0.15176470588235294
767,1067,0.1508235294117647
768,1068,0.14988235294117647
769,1069,0.14894117647058824
770,1070,0.148
771,1071,0.14905882352941177
772,1072,0.15011764705882352
773,1073,0.1511764705882353
774,1074,0.15223529411764705
775,1075,0.15329411764705883
776,1076,0.15435294117647058
777,1077,0.15541176470588236
778,1078,0.1564705882352941
779,1079,0.1575294117647059
780,1080,0.15858823529411764
781,1081,0.15964705882352942
782,1082,0.16070588235294117
783,1083,0.16176470588235295
784,1084,0.1628235294117647
785,1085,0.16388235294117648
786,1086,0.16494117647058826
787,1087,0.166
788,1088,0.1681666666666667
789,1089,0.17033333333333334
790,1090,0.17250000000000001
791,1091,0.17466666666666666
792,1092,0.17683333333333334
793,1093,0.179
794,1094,0.18116666666666667
795,1095,0.18333333333333335
796,1096,0.1855
797,1097,0.18766666666666668
798,1098,0.18983333333333333
799,1099,0.192
800,1100,0.19533333333333333
801,1101,0.19866666666666666
802,1102,0.202
803,1103,0.20533333333333334
804,1104,0.20866666666666667
805,1105,0.21200000000000002
806,1106,0.21533333333333335
807,1107,0.21866666666666668
808,1108,0.222
809,1109,0.22533333333333333
810,1110,0.22866666666666668
811,1111,0.232
812,1112,0.23900000000000002
813,1113,0.24600000000000002
814,1114,0.253
815,1115,0.26
816,1116,0.267
817,1117,0.274
818,1118,0.281
819,1119,0.28800000000000003
820,1120,0.29500000000000004
821,1121,0.30200000000000005
822,1122,0.309
823,1123,0.316
824,1124,0.323
825,1125,0.34175
826,1126,0.36050000000000004
827,1127,0.37925000000000003
828,1128,0.398
829,1129,0.41675
830,1130,0.4355
831,1131,0.45425000000000004
832,1132,0.47300000000000003
833,1133,0.49175
834,1134,0.5105000000000001
835,1135,0.52925
836,1136,0.548
837,1137,0.5804615384615385
838,1138,0.6129230769230769
839,1139,0.6453846153846154
840,1140,0.6778461538461539
841,1141,0.7103076923076923
842,1142,0.7427692307692308
843,1143,0.7752307692307693
844,1144,0.8076923076923077
845,1145,0.8401538461538461
846,1146,0.8726153846153846
847,1147,0.9050769230769231
848,1148,0.9375384615384615
849,1149,0.97
850,1150,0.985
851,1151,1.0
852,1152,1.015
853,1153,1.03
854,1154,1.045
855,1155,1.06
