,Wavelength (nm),Absorption (/cm)
140,660,0.0672658039972989
141,661,0.06678575755325798
142,662,0.0663194399802362
143,663,0.06586586539895563
144,664,0.0654240758094043
145,665,0.06499313954090703
146,666,0.06457214983675813
147,667,0.06416022356709661
148,668,0.0637565000641738
149,669,0.06336014007458872
150,670,0.06297032482344168
151,671,0.06258625518569501
152,672,0.06220715096032318
153,673,0.06183225024309452
154,674,0.061460808894048445
155,675,0.06109210009592197
156,676,0.06072541399993748
157,677,0.06036005745549123
158,678,0.05999535382038162
159,679,0.05963064284828989
160,680,0.0592652806502738
161,681,0.0588989208288582
162,682,0.05853234384973543
163,683,0.05816658923476819
164,684,0.05780267101766425
165,685,0.0574415779737907
166,686,0.05708427402239524
167,687,0.05673169879368171
168,688,0.05638476835341933
169,689,0.05604437607807455
170,690,0.0557113936738334
171,691,0.055386672333327634
172,692,0.05507104402438526
173,693,0.054765322905691714
174,694,0.05447030686486809
175,695,0.05418677917514635
176,696,0.053915510267543744
177,697,0.05365725961621161
178,698,0.0534127777354529
179,699,0.0531828082877709
180,700,0.05296809030322793
181,701,0.05276904361204997
182,702,0.05258482939057306
183,703,0.052414316292383425
184,704,0.052256396970097506
185,705,0.052109985461832126
186,706,0.051974014815555664
187,707,0.051847434941777196
188,708,0.051729210686284215
189,709,0.05161832011575958
190,710,0.05151375301010162
191,711,0.05141450955614374
192,712,0.05131959923822712
193,713,0.051228039921727135
194,714,0.05113885712617429
195,715,0.05105108348504602
196,716,0.05096375838964214
197,717,0.05087592781469237
198,718,0.05078664432348384
199,719,0.05069496725034243
200,720,0.050599963058250604
201,721,0.050500917551816564
202,722,0.05039796814855296
203,723,0.05029146306905866
204,724,0.05018174859202761
205,725,0.05006916882877167
206,726,0.04995406552114694
207,727,0.049836777862694
208,728,0.049717642342765635
209,729,0.04959699261338622
210,730,0.04947515937855928
211,731,0.04935247030571748
212,732,0.04922924995899104
213,733,0.04910581975395633
214,734,0.04898249793351576
215,735,0.048859599564554726
216,736,0.04873743655501745
217,737,0.048616317691046344
218,738,0.04849654869383274
219,739,0.04837843229583704
220,740,0.048262268336046625
221,741,0.048148163964901396
222,742,0.048035467584645164
223,743,0.04792334473194981
224,744,0.04781096872378286
225,745,0.0476975206295968
226,746,0.04758218938478511
227,747,0.04746417204303506
228,748,0.04734267416512025
229,749,0.04721691034152254
230,750,0.04708610484605724
231,751,0.0469494924173963
232,752,0.046806319165047565
233,753,0.04665584359595258
234,754,0.04649733775741809
235,755,0.04633008849159536
236,756,0.04615339879617539
237,757,0.04596658928537807
238,758,0.04576899974468378
239,759,0.045559990772095264
240,760,0.04533894549802592
241,761,0.04510567366489864
242,762,0.04486160283229059
243,763,0.044608540022298686
244,764,0.04434826157709845
245,765,0.044082510062305624
246,766,0.04381299185704933
247,767,0.0435413754104104
248,768,0.043269290141680905
249,769,0.04299832596040427
250,770,0.04273003338132752
251,771,0.042465924209203115
252,772,0.04220747276878013
253,773,0.04195611765628926
254,774,0.04171326399021659
255,775,0.04148028614114664
256,776,0.04125853092290576
257,777,0.04104932123012896
258,778,0.040853960110687454
259,779,0.040673735265135215
260,780,0.04050992396945732
261,781,0.04036336457503816
262,782,0.040233171809601426
263,783,0.040118058774372786
264,784,0.040016769401558794
265,785,0.03992807415814684
266,786,0.039850766156500766
267,787,0.039783657652753074
268,788,0.03972557691706749
269,789,0.03967536546257482
270,790,0.03963187562219024
271,791,0.039593968464623465
272,792,0.03956051204270549
273,793,0.03953037996869127
274,794,0.03950245031246451
275,795,0.039475604819574246
276,796,0.039448728446781156
277,797,0.039420709213284666
278,798,0.039390438366044424
279,799,0.039356810857603904
280,800,0.0393187261345699
281,801,0.0392753404008
282,802,0.03922681899133063
283,803,0.03917357907980637
284,804,0.039116037478878964
285,805,0.03905461017121524
286,806,0.03898971188389248
287,807,0.03892175570623323
288,808,0.03885115275101369
289,809,0.03877831185887568
290,810,0.03870363934567992
291,811,0.038627538792459684
292,812,0.038550410877566256
293,813,0.03847265325054347
294,814,0.03839466044722643
295,815,0.03831682384552885
296,816,0.038239531661365074
297,817,0.0381631689841462
298,818,0.03808811785129356
299,819,0.038014757361229126
300,820,0.037943463824328304
301,821,0.03787451707415155
302,822,0.0378078203773509
303,823,0.03774318445511924
304,824,0.03768042160341924
305,825,0.03761934559786196
306,826,0.03755977160789458
307,827,0.03750151612015709
308,828,0.03744439687087893
309,829,0.03738823278719665
310,830,0.03733284393728111
311,831,0.03727805148917144
312,832,0.037223677678217444
313,833,0.037169545783038764
314,834,0.0371154801099111
315,835,0.03706130598549394
316,836,0.03700684975781488
317,837,0.03695193880542617
318,838,0.03689640155464862
319,839,0.036840067504816436
320,840,0.03678276726143314
321,841,0.03672444208798685
322,842,0.03666547107124464
323,843,0.03660634010166581
324,844,0.03654753196446199
325,845,0.036489526350267296
326,846,0.03643279992907467
327,847,0.036377826486741
328,848,0.036325077123403354
329,849,0.03627502051320943
330,850,0.036228123224848904
331,851,0.03618485010247944
332,852,0.03614566470676801
333,853,0.036111029815919064
334,854,0.036081407986732046
335,855,0.0360572621759253
336,856,0.036039056422179146
337,857,0.03602725658958888
338,858,0.03602233117348157
339,859,0.036024752169834875
340,860,0.03603499600984726
341,861,0.03605360749133636
342,862,0.03608139002387192
343,863,0.03611921911136
344,864,0.03616798177588856
345,865,0.03622857908783296
346,866,0.03630192893199014
347,867,0.036388969020763835
348,868,0.03649066016744
349,869,0.03660798983481627
350,870,0.03674197597690089
351,871,0.03689367119409632
352,872,0.03706416722525947
353,873,0.03725459980331354
