,0,1
378,1038.0,146.7061
379,1039.0,145.3215
380,1040.0,143.8995
381,1041.0,142.4776
382,1042.0,141.0369
383,1043.0,139.5962
384,1044.0,138.2117
385,1045.0,136.8271
386,1046.0,135.48
387,1047.0,134.1516
388,1048.0,132.8606
389,1049.0,131.5883
390,1050.0,130.3347
391,1051.0,129.1185
392,1052.0,127.9211
393,1053.0,126.7611
394,1054.0,125.601
395,1055.0,124.4597
396,1056.0,123.3558
397,1057.0,122.2519
398,1058.0,121.148
399,1059.0,120.0816
400,1060.0,119.0151
401,1061.0,117.9673
402,1062.0,116.9383
403,1063.0,115.9279
404,1064.0,114.9363
405,1065.0,113.9633
406,1066.0,113.0278
407,1067.0,112.1672
408,1068.0,111.3252
409,1069.0,110.5394
410,1070.0,109.8097
411,1071.0,109.1174
412,1072.0,108.4813
413,1073.0,107.8826
414,1074.0,107.3212
415,1075.0,106.7974
416,1076.0,106.2922
417,1077.0,105.8244
418,1078.0,105.3941
419,1079.0,105.0012
420,1080.0,104.627
421,1081.0,104.2902
422,1082.0,103.9721
423,1083.0,103.6915
424,1084.0,103.4295
425,1085.0,103.1863
426,1086.0,102.9618
427,1087.0,102.7747
428,1088.0,102.5876
429,1089.0,102.4379
430,1090.0,102.1385
431,1091.0,101.6895
432,1092.0,101.0721
433,1093.0,100.305
434,1094.0,99.3694
435,1095.0,98.2843
436,1096.0,97.0494
437,1097.0,95.8332
438,1098.0,94.7106
439,1099.0,93.6816
440,1100.0,92.7461
441,1101.0,91.8854
442,1102.0,91.137
443,1103.0,90.4634
444,1104.0,89.8834
445,1105.0,89.3782
446,1106.0,88.9479
447,1107.0,88.5363
448,1108.0,88.1434
449,1109.0,87.7879
450,1110.0,87.4324
451,1111.0,87.1143
452,1112.0,86.815
453,1113.0,86.553
454,1114.0,86.2911
455,1115.0,86.0291
456,1116.0,85.7111
457,1117.0,85.2994
458,1118.0,84.813
459,1119.0,84.2517
460,1120.0,83.5968
461,1121.0,82.8671
462,1122.0,82.0626
463,1123.0,81.2581
464,1124.0,80.5096
465,1125.0,79.8361
466,1126.0,79.2374
467,1127.0,78.7135
468,1128.0,78.2457
469,1129.0,77.8528
470,1130.0,77.5347
471,1131.0,77.2915
472,1132.0,77.1231
473,1133.0,77.0296
474,1134.0,77.0483
475,1135.0,77.1418
476,1136.0,77.3289
477,1137.0,77.5909
478,1138.0,77.9464
479,1139.0,78.3767
480,1140.0,78.6948
481,1141.0,78.938
482,1142.0,79.0877
483,1143.0,79.1438
484,1144.0,79.1064
485,1145.0,79.0128
486,1146.0,78.9754
487,1147.0,79.0315
488,1148.0,79.1812
489,1149.0,79.387
490,1150.0,79.6864
491,1151.0,80.0793
492,1152.0,80.5471
493,1153.0,81.0522
494,1154.0,81.5387
495,1155.0,82.0439
496,1156.0,82.5116
497,1157.0,82.9981
498,1158.0,83.4658
499,1159.0,83.9149
500,1160.0,84.3639
501,1161.0,84.813
502,1162.0,85.2433
503,1163.0,85.6736
504,1164.0,86.0478
505,1165.0,86.3846
506,1166.0,86.6653
507,1167.0,86.9272
508,1168.0,87.133
509,1169.0,87.2827
510,1170.0,87.395
511,1171.0,87.4698
512,1172.0,87.4885
513,1173.0,87.4698
514,1174.0,87.3763
515,1175.0,87.2266
516,1176.0,87.0021
517,1177.0,86.7401
518,1178.0,86.4033
519,1179.0,86.0104
520,1180.0,85.5614
521,1181.0,85.0562
522,1182.0,84.4949
523,1183.0,83.8775
524,1184.0,83.2039
525,1185.0,82.4929
526,1186.0,81.7071
527,1187.0,80.8838
528,1188.0,80.0045
529,1189.0,79.069
530,1190.0,78.0773
531,1191.0,77.0296
532,1192.0,75.9257
533,1193.0,74.7469
534,1194.0,73.5308
535,1195.0,72.2398
536,1196.0,71.0236
537,1197.0,69.901
538,1198.0,68.8532
539,1199.0,67.9177
540,1200.0,67.0758
541,1201.0,66.3087
542,1202.0,65.6538
543,1203.0,64.999
544,1204.0,64.3254
545,1205.0,63.6144
546,1206.0,62.8847
547,1207.0,62.1176
548,1208.0,61.3131
549,1209.0,60.4898
550,1210.0,59.6666
551,1211.0,58.8995
552,1212.0,58.1885
553,1213.0,57.4962
554,1214.0,56.8601
555,1215.0,56.28
556,1216.0,55.7374
557,1217.0,55.2323
558,1218.0,54.7458
559,1219.0,54.2593
560,1220.0,53.8103
561,1221.0,53.3426
562,1222.0,52.9122
563,1223.0,52.4819
564,1224.0,52.0703
565,1225.0,51.6961
566,1226.0,51.3593
567,1227.0,51.0599
568,1228.0,50.8167
569,1229.0,50.6109
570,1230.0,50.4425
571,1231.0,50.3115
572,1232.0,50.218
573,1233.0,50.1431
